City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tiksi,71.6872,128.8694,43.07,81,83,9.48,RU,1628019158
Baykit,61.67,96.37,62.28,89,76,3.96,RU,1628019158
Yellowknife,62.456,-114.3525,62.56,67,90,5.99,CA,1628019069
Pevek,69.7008,170.3133,37.24,86,67,3.74,RU,1628019159
Adrar,20.5022,-10.0711,91.9,32,12,9.93,MR,1628019159
Jinchang,38.4953,102.1739,73.45,25,100,5.21,CN,1628019159
Lata,40.1629,-8.3327,66.34,83,100,4.25,PT,1628019160
Hobart,-42.8794,147.3294,48.06,77,85,1.99,AU,1628019160
Djebeniana,35.035,10.9081,87.6,73,0,11.54,TN,1628019160
Poli,-3.3333,36.8,62.87,68,20,11.5,TZ,1628019161
Sawtell,-30.3833,153.1,47.19,94,0,4.61,AU,1628019161
Olinda,-8.0089,-34.8553,78.53,78,75,12.66,BR,1628019161
Dikson,73.5069,80.5464,47.98,82,98,5.97,RU,1628019162
Chokurdakh,70.6333,147.9167,41.97,54,17,7.47,RU,1628019162
Busselton,-33.65,115.3333,44.1,77,86,2.98,AU,1628019162
Avarua,-21.2078,-159.775,75.25,73,20,6.91,CK,1628019162
Kapaa,22.0752,-159.319,80.92,74,90,4.0,US,1628019163
Bredasdorp,-34.5322,20.0403,56.52,82,2,3.44,ZA,1628019163
Mount Gambier,-37.8333,140.7667,46.31,93,75,9.22,AU,1628019163
Rikitea,-23.1203,-134.9692,69.93,56,100,16.69,PF,1628019164
Ushuaia,-54.8,-68.3,44.26,53,40,16.11,AR,1628019164
Grand Gaube,-20.0064,57.6608,70.2,71,0,3.0,MU,1628019164
Mataura,-46.1927,168.8643,32.49,98,61,3.13,NZ,1628019165
Pangai,-19.8,-174.35,69.91,64,75,5.75,TO,1628019165
Cuiluan,47.72,128.648,65.59,97,78,2.98,CN,1628019165
Severo-Kuril'sk,50.6789,156.125,51.76,78,100,16.4,RU,1628019166
Hong Kong,22.2855,114.1577,83.32,88,100,1.01,HK,1628018946
